
Processing ReadFiles_Run2012D.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /pool/lsf/chiyi/358128442/./ReadFiles_Run2012D_C.so
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsrf51c01.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsre03a06.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsrd53a08.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsre03a06.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfssl4202.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsre05a04.cern.ch:1095
130124 08:11:56 001 Xrd: GoToAnotherServer: Going to: lxfsra18a07.cern.ch:1095
130124 08:11:57 001 Xrd: GoToAnotherServer: Going to: lxfsrd51a08.cern.ch:1095
130124 08:11:57 001 Xrd: GoToAnotherServer: Going to: lxfsre05a03.cern.ch:1095
130124 08:11:57 001 Xrd: GoToAnotherServer: Going to: lxfsre05a07.cern.ch:1095
130124 08:11:57 001 Xrd: GoToAnotherServer: Going to: lxfsre05a05.cern.ch:1095
130124 08:11:57 001 Xrd: GoToAnotherServer: Going to: lxfsre07a05.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre09a08.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre05a04.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre09a06.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre05a05.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre07a04.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre05a05.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre07a05.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfssl4307.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsrk54c02.cern.ch:1095
130124 08:11:58 001 Xrd: GoToAnotherServer: Going to: lxfsre05a07.cern.ch:1095
